COUNTRY,Continent,Region,active_students,male,female,associate,bachelors,doctorate,flight_school,high_school,language_training,masters,other,other_vocational_school,primary,secondary,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,GU,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MP,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY
AFGHANISTAN,Asia,Southern Asia,518,264,254,20,193,76,0,0,18,123,10,0,4,74,0,1,1,5,33,5,21,21,0,8,5,0,0,10,1,11,15,10,9,3,54,2,9,4,7,9,0,1,1,17,0,2,12,10,1,3,81,8,8,2,23,0,12,7,0,5,24,6,26,0,11,3,8,2,1
ALBANIA,Europe,Southern Europe,1453,651,802,305,626,99,0,0,130,236,37,0,2,18,0,3,4,16,50,3,49,9,11,110,12,0,0,5,27,66,9,9,5,2,171,9,4,121,25,22,0,0,3,12,0,0,3,94,2,4,367,40,6,1,53,0,4,3,0,10,42,10,25,0,1,15,15,1,0
ALGERIA,Africa,Northern Africa,504,333,171,63,97,90,2,0,155,73,22,0,0,2,0,1,2,6,75,2,4,6,3,10,8,0,0,8,1,14,5,8,1,1,41,4,1,6,4,9,0,0,0,4,22,1,5,13,0,0,132,8,4,1,16,0,2,1,1,4,39,2,17,0,0,0,3,0,9
ANDORRA,Europe,Southern Europe,24,19,5,1,9,0,0,0,2,4,2,0,0,6,0,0,0,0,3,1,0,0,0,3,1,0,0,1,0,2,1,0,0,0,4,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0
ANGOLA,Africa,Central Africa,717,408,309,108,309,24,5,0,133,111,14,1,1,11,0,2,1,20,24,6,1,6,1,66,13,0,0,3,4,10,9,3,3,13,23,4,2,4,8,5,0,0,1,7,1,0,1,3,1,1,27,5,32,2,20,0,0,1,0,2,355,7,9,0,0,7,3,1,0
ANGUILLA,North America,Caribbean,6,3,3,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ANTIGUA AND BARBUDA,North America,Caribbean,239,114,125,39,136,11,0,0,0,38,5,0,0,10,0,2,2,2,8,0,0,2,1,40,7,0,0,7,2,4,2,0,2,0,10,3,1,1,1,3,0,1,0,3,0,0,0,7,1,0,68,4,2,0,4,0,1,0,0,6,21,0,2,0,1,1,0,16,0
ARGENTINA,South America,South America,4139,2214,1924,362,1615,399,9,0,671,810,166,33,11,63,0,28,17,18,372,22,35,56,5,1018,107,0,7,30,13,145,47,50,59,22,227,34,4,64,32,68,0,23,7,149,4,9,4,50,17,8,596,41,31,19,129,0,15,34,6,51,125,150,64,0,8,31,22,59,1
ARMENIA,Asia,Western Asia,637,306,331,47,187,76,0,0,99,189,19,0,0,20,0,0,0,13,307,4,7,4,1,18,6,0,0,4,5,26,3,0,4,1,43,6,2,7,26,6,0,0,0,9,0,1,0,7,1,2,53,4,5,3,12,0,3,2,0,0,11,4,10,0,2,3,10,1,1
ARUBA,North America,Caribbean,65,42,23,19,30,2,1,0,0,6,0,0,0,7,0,2,0,0,5,0,0,0,0,16,3,0,0,0,1,1,0,1,0,2,1,0,0,0,1,3,0,0,0,2,0,0,0,0,1,0,7,0,2,0,1,0,0,6,0,8,2,0,0,0,0,0,0,0,0
AUSTRALIA,Australia&Pacific Islands,Oceania,4515,2572,1940,421,2410,419,6,0,3,814,184,67,15,176,3,39,20,67,702,52,79,31,8,172,70,0,31,58,38,168,64,62,24,30,384,48,13,64,27,81,0,24,20,119,38,33,30,108,31,17,676,72,64,64,222,0,29,43,16,62,220,74,66,0,5,65,35,37,9
AUSTRIA,Europe,Western Europe,928,490,438,59,382,118,1,0,18,195,51,12,0,92,2,7,3,20,181,15,17,2,3,57,15,0,17,9,5,38,14,8,10,8,68,9,16,10,16,10,0,4,3,27,1,3,1,23,1,0,126,18,7,11,28,0,9,9,2,18,28,5,9,0,3,15,8,7,1
AZERBAIJAN,Asia,Western Asia,924,632,292,37,342,113,0,0,79,289,44,0,1,19,0,8,4,27,75,4,9,55,3,96,12,0,0,4,0,46,22,3,5,9,116,10,2,15,11,25,0,2,0,12,2,1,4,16,2,0,122,13,16,3,44,0,4,3,2,4,45,1,37,0,6,13,9,0,2
"BAHAMAS, THE",North America,Caribbean,3743,1717,2026,311,2479,149,29,3,0,500,30,9,7,226,0,114,220,16,39,10,13,33,2,1024,255,0,0,30,5,41,45,100,32,18,37,31,6,33,104,59,0,26,4,132,8,32,3,28,5,2,118,193,125,0,61,0,15,206,2,162,230,5,74,0,5,8,14,17,0
BAHRAIN,Asia,Western Asia,332,214,118,19,212,25,0,0,2,59,6,0,0,9,0,8,0,18,39,7,5,9,0,24,3,0,0,1,0,9,10,1,1,1,65,4,0,4,5,1,0,0,0,1,0,0,0,6,2,0,38,3,0,5,17,0,1,1,0,1,25,1,6,0,0,1,2,7,0
BANGLADESH,Asia,Southern Asia,17878,12204,5671,794,2929,7167,25,0,1464,5363,110,0,1,25,10,410,199,237,1214,106,197,107,111,990,361,0,22,250,108,501,364,220,223,340,397,222,41,799,252,337,0,163,31,392,161,121,93,219,171,96,2690,565,214,61,570,0,28,151,157,297,1864,137,1096,0,24,207,199,97,56
BARBADOS,North America,Caribbean,363,183,180,42,218,25,2,0,0,55,12,0,0,9,0,8,3,1,11,2,3,16,2,63,8,0,0,9,1,15,7,7,1,12,10,6,1,6,3,8,0,5,0,13,6,6,2,11,3,0,43,8,5,1,11,0,2,3,1,2,21,1,8,0,0,5,2,0,0
BASSAS DA INDIA,0,N/A,8,5,3,1,2,1,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
BELARUS,Europe,Eastern Europe,563,226,335,30,213,65,1,0,118,77,20,1,2,36,0,3,2,7,84,4,14,3,0,55,18,0,0,4,2,32,7,3,3,7,27,3,1,10,13,7,0,3,1,15,0,5,2,14,3,5,93,10,5,4,28,0,0,3,0,9,21,8,10,0,3,8,3,0,1
BELGIUM,Europe,Western Europe,1206,706,499,88,434,99,33,0,150,282,57,7,0,56,0,9,4,31,262,11,15,14,1,69,34,0,24,5,6,42,19,10,4,12,93,12,8,10,7,19,0,2,3,36,2,6,7,10,6,2,220,12,7,9,37,0,7,11,3,7,36,12,20,0,0,10,11,7,1
BELIZE,North America,Central America,435,190,244,41,239,37,5,0,3,89,6,5,1,9,0,10,16,2,46,4,3,1,2,96,19,0,1,4,2,7,9,4,20,9,6,0,2,12,5,13,0,2,0,9,0,0,0,5,3,3,23,17,4,2,2,0,0,2,0,6,42,0,4,0,0,7,9,1,1
BENIN,Africa,Western Africa,283,167,116,58,89,46,0,0,36,43,7,0,0,4,0,2,3,5,17,0,1,7,0,4,11,0,0,7,2,16,7,1,5,4,9,8,1,5,12,7,0,0,0,5,2,12,1,1,1,1,31,11,4,2,13,0,0,2,2,5,36,4,5,0,0,4,5,2,0
BERMUDA,North America,Northern America,365,176,189,19,225,9,0,0,1,27,5,3,7,69,0,15,0,3,7,4,12,5,5,67,32,0,0,0,1,3,6,1,1,8,29,8,13,8,0,1,0,0,0,28,0,1,5,5,0,0,28,5,4,0,16,0,10,4,0,7,5,2,8,0,4,2,0,2,0
BHUTAN,Asia,Southern Asia,184,64,120,6,123,7,2,0,2,31,5,2,0,6,0,0,2,0,9,4,8,2,0,5,2,0,0,2,0,6,1,0,5,0,10,1,2,0,1,1,0,0,0,1,0,0,0,1,2,1,25,1,1,0,4,0,1,1,1,0,68,0,4,0,3,7,2,0,0
BOLIVIA,South America,South America,1584,804,779,146,840,92,3,0,213,233,35,3,0,19,0,10,112,20,71,14,4,22,7,323,37,0,0,16,16,43,57,27,33,12,61,17,0,24,10,47,0,1,1,26,2,4,4,13,13,1,77,32,25,4,27,0,2,7,5,9,119,118,82,0,2,8,7,10,0
BOSNIA AND HERZEGOVINA,Europe,Southern Europe,270,129,141,15,147,39,0,0,8,43,6,0,0,12,0,0,4,0,24,3,7,6,0,16,1,0,0,7,6,23,5,3,2,1,19,2,0,1,2,3,0,1,0,11,0,0,5,3,0,0,25,7,19,18,6,0,0,3,0,2,9,5,7,0,3,4,4,1,2
BOTSWANA,Africa,Southern Africa,284,130,154,18,156,39,0,0,1,64,1,0,1,4,0,2,2,4,38,2,3,3,3,5,9,0,0,5,3,17,4,5,1,1,17,2,0,17,5,12,0,1,1,9,0,1,1,3,2,1,31,16,5,0,24,0,2,0,1,1,16,1,3,0,1,2,1,1,0
BRAZIL,South America,South America,29439,12941,16484,3014,8137,2306,10,0,8886,4006,1639,96,39,1306,1,150,93,162,4421,264,305,186,62,7246,827,0,54,279,145,919,475,289,216,130,2980,230,52,442,242,441,0,97,18,409,17,142,81,605,56,120,2203,368,235,89,737,0,62,129,43,219,1066,1040,523,0,28,247,172,88,29
BRITISH VIRGIN ISLANDS,North America,Caribbean,48,16,32,6,35,0,0,0,0,5,0,0,0,2,0,1,0,0,1,0,1,0,0,16,2,0,0,2,0,0,1,4,1,1,0,0,0,1,0,10,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
BRUNEI,Asia,South-Eastern Asia,32,19,13,1,18,3,1,0,0,7,2,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,4,2,0,0,0,0,0,0,0,0,1,0,0,11,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
BULGARIA,Europe,Eastern Europe,614,299,314,43,320,78,1,0,26,95,28,1,2,20,0,4,2,5,78,6,19,3,5,34,15,0,0,7,1,41,4,4,0,6,62,11,4,14,6,15,0,7,0,12,0,0,4,19,1,5,91,6,6,2,29,0,2,4,1,8,27,4,17,0,1,13,4,1,4
BURKINA FASO,Africa,Western Africa,420,245,175,63,155,19,1,0,88,85,3,0,1,5,0,1,3,0,8,4,3,10,4,20,45,0,0,6,0,5,3,1,3,1,13,17,0,3,20,4,0,0,1,7,0,19,0,16,1,0,58,9,13,5,16,0,1,1,4,1,54,0,12,0,1,4,21,2,0
BURMA,Asia,South-Eastern Asia,3383,1734,1649,1214,1180,140,0,0,108,390,264,4,7,76,0,20,2,25,1382,19,10,16,1,112,30,0,5,60,5,109,69,53,34,4,178,49,4,35,85,30,0,2,0,23,3,7,8,10,5,5,426,31,43,47,76,0,2,6,0,12,125,12,43,0,4,126,29,1,0
BURUNDI,Africa,Eastern Africa,212,106,106,25,138,7,0,0,3,27,4,0,0,8,0,4,0,2,10,1,3,0,0,4,3,0,0,4,3,22,1,9,5,0,14,2,2,0,38,5,0,0,0,4,0,0,3,1,0,0,11,1,6,1,12,0,1,0,0,2,14,3,4,0,2,13,2,0,0
CAMBODIA,Asia,South-Eastern Asia,1060,511,549,226,484,41,5,0,33,174,25,1,11,60,0,2,4,22,256,9,7,3,0,17,15,0,2,22,6,31,7,2,16,5,104,5,9,6,38,10,0,2,1,14,0,2,5,7,0,3,49,24,5,25,64,0,9,5,0,8,88,15,22,0,1,103,10,0,0
CAMEROON,Africa,Central Africa,1104,585,518,147,449,173,0,0,17,265,23,0,1,29,1,15,9,18,55,8,6,19,8,31,74,0,0,19,7,33,20,16,14,18,60,55,0,23,57,19,0,10,3,30,17,9,2,26,16,1,64,24,45,8,47,0,6,4,2,14,126,8,30,0,2,12,9,4,0
CANADA,North America,Northern America,31428,15899,15505,1821,14570,5771,36,0,64,5530,1747,207,162,1520,50,172,62,475,3923,246,707,257,43,1357,472,0,184,263,298,1284,471,182,152,163,2772,401,275,1943,424,480,0,131,100,544,440,124,278,576,81,66,5509,602,182,450,1478,0,319,220,46,348,943,366,406,0,192,466,314,129,48
CAPE VERDE,Africa,Western Africa,71,31,40,18,30,1,1,0,6,11,3,0,0,1,0,0,0,0,2,1,1,0,0,5,0,0,0,1,2,0,1,0,0,0,29,2,0,5,0,0,0,0,0,0,0,0,0,0,1,0,6,3,0,1,3,0,4,0,0,2,1,1,0,0,0,0,0,0,0
CAYMAN ISLANDS,North America,Caribbean,191,99,92,13,136,1,1,0,0,14,0,1,1,24,0,4,0,2,8,3,0,1,0,73,9,0,0,0,0,3,4,8,2,1,3,2,0,5,1,1,0,0,0,8,0,3,0,5,0,1,12,1,2,1,2,0,3,3,0,8,1,2,6,0,0,2,1,0,0
CENTRAL AFRICAN REPUBLIC,Africa,Central Africa,15,9,6,1,7,0,0,0,3,4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0
CHAD,Africa,Central Africa,67,52,15,11,16,6,1,0,15,10,3,0,0,5,0,0,2,0,7,0,0,0,0,5,2,0,0,0,0,1,0,1,1,0,3,1,0,1,3,0,0,0,0,1,0,1,0,1,0,0,13,3,1,0,1,0,0,0,0,2,10,0,3,0,0,3,0,0,1
CHILE,South America,South America,3525,2173,1351,229,937,524,15,0,735,872,102,21,17,73,0,28,6,32,455,31,21,33,3,523,64,0,11,33,57,191,58,31,25,14,274,41,8,51,25,37,0,9,2,69,2,23,8,27,10,7,406,29,17,20,91,0,10,15,0,36,140,411,59,0,7,21,36,10,3
CHINA,Asia,China,257998,134924,122881,3120,91979,52900,191,0,2368,93267,4451,32,690,9000,16,1142,264,3365,51376,1162,4365,3306,926,5109,6214,0,267,1366,127,13236,4958,686,526,918,21928,6857,449,7429,2770,4677,0,207,41,5688,98,512,743,5884,193,295,44561,7320,577,1176,16522,0,1758,1019,91,1631,8229,1561,4150,0,240,7336,4354,154,62
CHRISTMAS ISLAND,Australia&Pacific Islands,Oceania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COLOMBIA,South America,South America,16983,7799,9173,1502,3084,1667,76,2,6807,2981,512,50,33,269,4,79,42,75,1344,208,107,403,70,3758,454,0,7,105,54,602,275,107,113,137,862,144,15,152,126,211,0,72,4,238,10,67,26,716,43,52,2485,163,118,51,327,0,20,71,15,125,972,928,419,0,3,129,89,68,11
COMOROS,Africa,Eastern Africa,8,5,3,0,2,1,0,0,2,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
CONGO (BRAZZAVILLE),Africa,Central Africa,159,68,90,33,49,6,0,0,39,26,3,0,0,3,0,0,0,0,11,3,0,2,0,8,6,0,0,7,4,3,2,2,4,0,6,12,0,2,2,3,0,0,0,15,0,0,0,2,0,1,15,1,3,0,4,0,0,0,0,1,18,10,4,0,0,2,5,0,1
CONGO (KINSHASA),Africa,Central Africa,2357,1322,1034,467,870,60,3,0,451,298,33,3,13,159,0,65,18,29,101,11,15,35,2,83,122,0,0,49,13,75,33,61,68,7,55,34,33,78,86,24,0,4,3,67,3,48,4,22,2,4,55,41,9,28,58,0,1,4,34,25,189,302,65,0,7,255,23,7,0
COSTA RICA,North America,Central America,1555,828,724,92,751,238,11,0,86,275,37,4,6,55,0,11,32,14,112,18,18,22,2,183,72,0,2,23,8,44,73,38,25,26,103,12,5,24,25,16,0,7,2,38,3,4,7,22,4,4,116,34,15,12,66,0,7,16,0,28,132,30,40,0,4,17,17,9,1
COTE D'IVOIRE,Africa,Western Africa,1405,760,645,209,546,68,0,0,168,358,37,0,6,13,0,8,56,9,78,8,10,17,3,30,57,0,1,17,19,12,18,15,21,31,41,28,8,12,145,12,0,2,1,43,5,11,4,36,3,3,100,25,42,10,34,0,3,6,2,7,281,62,35,0,1,20,7,5,1
CROATIA,Europe,Southern Europe,490,242,248,19,265,58,0,0,8,108,11,1,0,20,1,2,6,6,46,8,5,6,1,27,7,0,2,6,4,33,11,4,7,7,28,8,3,5,5,7,0,3,1,14,1,2,5,9,2,3,79,15,12,2,19,0,3,7,2,8,34,6,9,0,2,2,0,4,1
CUBA,North America,Caribbean,105,45,60,4,19,24,0,0,23,24,8,0,0,3,0,2,0,1,5,0,2,0,1,37,6,0,0,2,0,4,1,1,1,0,5,3,0,3,0,2,0,3,0,1,0,0,0,1,1,0,5,0,0,0,0,0,1,0,1,1,12,0,0,0,1,0,0,0,0
CURACAO,North America,Caribbean,113,66,47,9,73,3,2,0,1,13,0,0,2,10,0,1,3,0,2,0,0,0,0,28,3,0,0,0,0,1,0,1,0,2,3,1,0,0,0,6,0,2,0,7,0,36,0,1,0,0,6,1,1,0,1,0,0,1,0,3,1,1,1,0,0,0,0,0,0
CYPRUS,Asia,Western Asia,409,244,165,10,218,71,1,0,3,84,11,1,0,10,0,5,2,8,61,1,4,9,1,27,11,0,0,3,0,13,14,3,4,5,42,9,0,4,4,2,0,1,0,7,2,1,1,9,0,0,82,8,0,4,20,0,6,2,1,3,15,2,6,0,1,2,4,0,0
CZECH REPUBLIC,Europe,Eastern Europe,952,484,468,69,469,67,1,0,28,133,32,6,13,134,5,20,3,11,114,23,18,9,5,106,21,0,13,2,4,31,17,11,11,3,51,10,20,35,16,11,0,8,2,27,2,6,12,9,2,2,104,18,7,3,38,0,8,15,6,10,36,4,16,0,7,11,24,4,0
DENMARK,Europe,Northern Europe,978,501,477,55,507,72,1,0,41,145,70,10,1,76,1,4,10,5,219,12,18,15,3,58,27,0,27,18,5,11,16,6,11,14,52,5,9,15,6,11,0,4,3,37,1,8,2,20,3,3,121,14,15,8,23,0,5,17,1,14,43,10,12,0,7,12,8,7,2
DJIBOUTI,Africa,Eastern Africa,5,2,3,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOMINICA,North America,Caribbean,529,171,358,23,331,46,0,0,5,113,0,0,0,11,1,3,11,4,16,2,1,4,2,41,12,0,1,2,0,9,3,5,1,104,10,11,1,2,2,2,0,2,0,4,1,0,1,4,0,0,53,6,3,1,6,0,1,1,1,2,168,2,6,0,0,0,6,1,0
DOMINICAN REPUBLIC,North America,Caribbean,2658,1559,1099,359,1159,74,6,0,346,310,58,7,8,331,0,102,6,18,43,13,33,34,8,465,92,0,0,37,18,87,42,40,19,12,292,19,6,78,17,61,0,3,3,53,2,26,7,68,9,1,314,27,48,4,90,0,40,32,4,30,85,153,35,0,6,9,11,8,2
ECUADOR,South America,South America,4441,2249,2191,481,1488,396,18,0,1045,728,226,9,6,44,1,31,8,35,269,47,48,53,14,860,98,0,11,46,41,169,84,34,44,54,223,37,8,43,42,63,0,12,5,99,2,21,6,213,14,10,611,72,24,22,121,0,12,26,7,19,221,350,80,0,2,36,48,18,4
EGYPT,Africa,Northern Africa,4067,2887,1177,212,1306,1434,41,0,168,765,90,3,3,45,0,40,22,95,410,34,58,39,8,327,69,0,7,118,14,158,124,32,67,54,237,57,5,112,99,57,0,30,3,104,23,27,13,109,17,10,375,170,29,22,218,0,11,22,20,51,272,28,144,0,3,53,44,11,14
EL SALVADOR,North America,Central America,1237,604,633,131,644,65,6,0,114,219,23,1,4,30,0,13,44,10,114,9,9,20,0,150,39,0,2,14,11,54,48,7,12,25,72,13,8,12,20,20,0,3,0,31,0,4,2,11,1,1,81,18,34,6,33,0,10,4,0,9,143,47,49,0,2,7,9,0,0
EQUATORIAL GUINEA,Africa,Central Africa,347,153,194,63,94,3,1,0,164,18,0,0,0,4,0,6,1,2,13,0,1,4,0,5,9,0,0,1,0,4,0,1,0,1,6,2,0,2,4,0,0,0,0,3,0,0,0,0,0,1,4,2,0,4,15,0,0,0,0,0,242,1,8,0,0,4,1,0,0
ERITREA,Africa,Eastern Africa,139,90,49,3,11,17,0,0,2,102,1,0,0,3,0,0,1,0,6,1,6,0,0,10,0,0,0,76,1,0,0,0,0,0,0,1,0,2,0,2,0,1,0,1,1,0,0,0,6,0,6,4,1,2,1,0,1,0,0,0,3,0,3,0,0,3,0,0,0
ESTONIA,Europe,Northern Europe,201,105,96,8,125,18,1,0,3,29,8,1,0,8,3,2,1,3,38,0,2,1,0,18,3,0,1,1,1,4,3,1,0,0,17,1,2,4,4,2,0,0,0,2,1,2,1,2,0,1,23,1,4,0,11,0,2,3,3,7,14,0,4,0,2,3,2,0,1
ETHIOPIA,Africa,Eastern Africa,3678,1844,1833,268,2093,370,0,0,19,747,24,0,6,151,0,17,16,47,160,48,56,63,4,54,130,0,1,330,18,140,53,26,103,4,155,96,10,112,612,105,0,33,7,56,10,40,8,22,6,14,180,130,23,15,151,0,10,12,118,45,147,6,148,0,2,80,38,15,2
FAROE ISLANDS,Europe,Northern Europe,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIJI,Australia&Pacific Islands,Melanesia,62,33,29,10,26,5,1,0,0,7,4,2,0,7,0,0,1,0,9,0,0,1,0,6,0,0,5,3,0,1,0,2,0,0,6,3,0,2,0,0,0,0,2,1,0,0,0,0,0,0,5,2,0,2,1,0,0,3,1,0,1,4,0,0,0,1,0,0,0
FINLAND,Europe,Northern Europe,545,273,272,29,301,38,0,0,9,78,24,9,3,54,1,9,2,6,64,9,10,0,3,25,15,0,5,3,5,14,7,4,2,6,36,5,3,16,12,10,0,4,0,17,1,1,6,11,2,3,72,7,8,4,27,0,8,4,1,12,23,8,23,0,10,4,9,7,1
FRANCE,Europe,Western Europe,9279,4909,4364,624,2840,845,49,0,853,2408,1095,64,16,485,3,88,42,143,2128,63,81,98,19,678,227,0,59,53,28,347,100,84,49,87,685,74,42,107,52,107,0,30,9,539,3,24,31,119,27,25,1713,109,59,49,223,0,43,78,7,50,285,122,89,0,17,77,52,37,9
FRENCH GUIANA,South America,South America,2,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRENCH POLYNESIA,Australia&Pacific Islands,Polynesia,19,11,8,0,17,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
GABON,Africa,Central Africa,322,148,174,69,114,11,0,0,77,35,12,0,0,4,0,2,0,1,14,2,0,9,1,9,12,0,0,1,0,5,6,2,1,7,11,20,1,1,5,0,0,0,0,5,1,4,0,2,0,0,26,3,10,4,9,0,0,0,1,7,130,1,6,0,0,1,0,2,0
"GAMBIA, THE",Africa,Western Africa,355,217,137,71,98,34,0,0,4,140,2,0,0,6,0,2,2,2,8,3,13,5,0,7,12,0,0,9,2,31,6,0,7,2,8,9,2,12,37,9,0,2,0,6,2,7,1,5,0,0,29,36,3,1,8,0,1,1,2,2,32,3,4,0,1,9,11,1,0
GAZA STRIP,Asia,Western Asia,129,88,41,7,62,29,0,0,8,19,3,0,0,1,0,2,2,3,12,2,0,1,0,8,2,0,0,3,2,4,1,2,1,0,9,3,0,8,1,1,0,1,0,2,1,1,0,2,0,0,10,6,2,2,5,0,0,0,0,2,7,2,10,0,1,4,1,3,0
